"metapreds$Persistence.1 comps"	"metapreds$Persistence.2 comps"	"metapreds$Persistence.3 comps"	"metapreds$Persistence.4 comps"
"metapreds$S"	-0.0249348488221823	-0.0279607015094404	-0.0171345651197762	-0.00844552473579401
"metapreds$C"	-0.105897267477802	-0.124151091127195	-0.103403745478334	-0.0796774557839338
"metapreds$STL"	-0.301196807125204	-0.381468712934163	-0.429423345098897	-0.444190377797008
"metapreds$Degree"	-0.000339475323466294	-0.0251953277463202	-0.0168777556042467	0.00681406464542349
"as.matrix(allZ_scaled)zD1"	0.0472615192263231	0.0292146018881242	0.0401306709721885	0.0383578320874054
"as.matrix(allZ_scaled)zD2"	-0.00113487605699039	-0.0302417853443167	-0.0356889921254444	-0.0387238042216494
"as.matrix(allZ_scaled)zD3"	0.0340468090830906	0.0160491060009942	0.0307183284371895	0.0290498732117731
"as.matrix(allZ_scaled)zD4"	-0.0282149496000642	-0.0549397661562133	-0.0498392577130162	-0.0485472824511015
"as.matrix(allZ_scaled)zD5"	-0.00567752436496282	-0.0236052847844527	-0.0138167460195775	-0.0163507499672806
"as.matrix(allZ_scaled)zD6"	0.0357225874454402	0.0223881906249857	0.0375346228072987	0.0334230746317122
"as.matrix(allZ_scaled)zD7"	0.0180525515876326	-0.00315299327186113	0.00987932007348706	0.00515785230296845
"as.matrix(allZ_scaled)zD8"	-0.00875776039046878	-0.026887655079219	-0.0143970162938851	-0.0167308894046905
"as.matrix(allZ_scaled)zS1"	0.0769728607796976	0.065632777551484	0.0468579314934934	0.0484230552094111
"as.matrix(allZ_scaled)zS2"	0.069665113800585	0.0424815466529825	0.00215419679831905	-0.0109023230092361
"as.matrix(allZ_scaled)zS3"	-0.000269731094243362	-0.00227689507348066	0.00436561945429445	0.00538312407374
"as.matrix(allZ_scaled)zS4"	0.0524574039594088	0.049265510475799	0.0271413296623008	0.0392586258855344
"as.matrix(allZ_scaled)zS5"	0.0741868769444317	0.0592916302510227	0.0358914651179341	0.0377897795611011
"metapreds$S:metapreds$C"	-0.00797386784076408	-0.0118902542056402	-0.0156417641243183	-0.0181903527605688
