S	C	ext_corr	df	SS	MS	Model_F	R2	pval
60	0.02	0.819954223388	1	18.3536459817	18.3536459817	92.6739573905	0.0152157147204	0.0
60	0.04	0.846014127897	1	16.1620932143	16.1620932143	86.001360706	0.0141356577041	0.0
60	0.06	0.865233676767	1	16.5719428088	16.5719428088	91.2027064559	0.0149777747355	0.0
60	0.08	0.872410127394	1	17.6715831342	17.6715831342	99.7133283551	0.0163525772672	0.0
60	0.1	0.887097269639	1	16.6948076025	16.6948076025	92.0658158076	0.0151173761651	0.0
60	0.12	0.882995876727	1	17.6018187746	17.6018187746	96.9313952404	0.0159036072688	0.0
60	0.14	0.890971918579	1	18.5272699365	18.5272699365	102.068587846	0.0167323672474	0.0
60	0.16	0.889813450116	1	19.5270988811	19.5270988811	106.154922862	0.0173906010255	0.0
60	0.18	0.893478497999	1	19.6149325247	19.6149325247	106.910127856	0.0175121542524	0.0
60	0.2	0.899469981181	1	25.3142663465	25.3142663465	137.291336326	0.0223773132847	0.0
