"Estimate"	"Std. Error"	"df"	"t value"	"Pr(>|t|)"
"(Intercept)"	31.2048140746501	0.0987446809498014	8722.93626018993	316.015138987726	0
"cS1"	0.0122718004325695	0.000300748027228222	403911.975755314	40.8042591190701	0
"cS2"	0.00384737044617711	0.000301824424734567	449265.193339633	12.7470480547113	3.28624795632897e-37
"cS3"	0.694052508805793	0.186852654554698	446062.603131046	3.71443750938321	0.000203680994092274
"cS4"	0.011375647348358	0.000356021305386099	449384.519602291	31.9521533578484	9.00803608904904e-224
"cS5"	0.00149692362783009	0.000205888916777719	418017.497250451	7.27054011093854	3.58674266092175e-13
"cD1"	0.0106925573837862	0.0013704297343985	448449.245050145	7.80233901483413	6.08998987307172e-15
"cD2"	-0.0226257890335326	0.0022480938171433	447757.981589409	-10.0644327478662	7.98081464858884e-24
"cD3"	0.0162686440919461	0.0013233188128293	449360.182218416	12.2938206078724	9.90401641324105e-35
"cD4"	-0.140181037699484	0.00565402168063238	448391.813430632	-24.79315531804	1.3124536900118e-135
"cD5"	-0.290880788671991	0.0228902537346903	446262.882551824	-12.7076262257049	5.44369748129667e-37
"cD6"	0.129950647631182	0.0130460842484708	446507.104631494	9.96089287453544	2.27297791182719e-23
"cD7"	-0.0305950397836701	0.00823246058416089	446912.729552045	-3.71639067942025	0.000202113639180993
"cD8"	-0.20710721142131	0.0204921142649666	446443.376497082	-10.1066785370889	5.1912435445793e-24
