"Motif"	"Raw_intercept"	"Raw_beta"	"Raw_var"	"Raw_p"	"Prop_intercept"	"Prop_beta"	"Prop_var"	"Prop_p"	"Z_intercept"	"Z_beta"	"Z_var"	"Z_p"
"1"	"cD1"	"16.0134161366135"	"2.47851878975321"	"0.114105422593081"	"1.46111631423183e-104"	"0.00877035307759393"	"0.00449814201279869"	"6.12852739980817e-05"	"0"	"0.0890708999705659"	"-0.0415759793818295"	"0.00209156656777696"	"6.8962349005827e-88"
"2"	"cD2"	"6.1282907757031"	"1.09036656376965"	"0.0464861945428451"	"1.36836613867877e-121"	"0.00351431660329611"	"0.00161186599512575"	"3.23550302501232e-05"	"0"	"0.0971319609843285"	"-0.0453386729957322"	"0.00203922145433841"	"1.87425917112869e-109"
"3"	"cD3"	"12.4699966001816"	"3.72068506854251"	"0.0994853108083808"	"1.18664853168154e-305"	"0.00585082977870658"	"0.00688812263921671"	"7.95302296904435e-05"	"0"	"0.0293543144549525"	"-0.0137018304850417"	"0.00209241040338873"	"5.82394175010065e-11"
"4"	"cD4"	"1.0218687356259"	"0.804082580584341"	"0.0159950000311042"	"0"	"-0.000106945896558591"	"0.00133759581507964"	"1.35796593582367e-05"	"0"	"-0.0603203874008226"	"0.0281559879119762"	"0.00200371287219577"	"7.66449710884863e-45"
"5"	"cD5"	"0.140143076647328"	"0.112438194465026"	"0.00340074955759543"	"1.98063568790491e-239"	"-9.06959376552566e-05"	"0.000205029738147727"	"2.99742151215061e-06"	"0"	"-0.0395811505253723"	"0.0184754515638055"	"0.00176984493889109"	"1.65603955469016e-25"
"6"	"cD6"	"0.737679863053337"	"0.0993357926714582"	"0.00933853046502499"	"2.01509259286709e-26"	"0.000289784382763836"	"0.00018634479149006"	"6.04016612909118e-06"	"9.00433442578722e-209"	"0.0567684351864018"	"-0.0264980290041912"	"0.00183710605589263"	"3.7565936174793e-47"
"7"	"cD7"	"1.33682596980935"	"0.379814321026258"	"0.0168767132735327"	"4.25587036970738e-112"	"0.000263066613696689"	"0.000663831210619551"	"1.07098907007364e-05"	"0"	"0.0188662746322473"	"-0.00880628628858714"	"0.00193740838257265"	"5.48465798712123e-06"
"8"	"cD8"	"0.124446511817484"	"0.134763946877142"	"0.00401327390169354"	"6.7608302454104e-247"	"-0.000139638987203658"	"0.000246292720410872"	"3.7846538162865e-06"	"0"	"-0.0450037697982716"	"0.0210065891986614"	"0.00176833702558881"	"1.53359755872261e-32"
"9"	"cS1"	"132.385350256043"	"9.57568935753563"	"0.296114537022749"	"3.78280953664402e-229"	"0.251995236571239"	"-0.00831902318351076"	"0.000249248940909912"	"6.01911001823906e-244"	"0.334047683422449"	"-0.155924770077648"	"0.00217706024757675"	"0"
"10"	"cS2"	"144.605274704897"	"3.36163095271392"	"0.445244665504744"	"4.35818472339233e-14"	"0.142758638269939"	"0.00361990941360772"	"0.000213413068761485"	"1.64385077879505e-64"	"0.416574061876831"	"-0.194445937038016"	"0.00217016094959603"	"0"
"11"	"cS3"	"0.0023814851920725"	"0.00296487750146054"	"0.000292213416625934"	"3.46327544046072e-24"	"-1.34664263840249e-06"	"4.82443457538942e-06"	"3.409726262048e-07"	"1.93634602199304e-45"	"-0.00624124126899862"	"0.00291324909035811"	"0.000752648941959361"	"0.000108555839196437"
"12"	"cS4"	"83.7933960926715"	"3.47888704307885"	"0.21787877338896"	"2.24736568000511e-57"	"0.149964919705445"	"-0.00459065643108931"	"0.000214479756232136"	"1.38791022202579e-101"	"0.203674890223818"	"-0.0950701411947107"	"0.00218484190364896"	"0"
"13"	"cS5"	"222.72009401889"	"24.025096561542"	"0.563079116799834"	"0"	"0.436931482461375"	"-0.00635227915647215"	"0.000347234032983819"	"9.84503796305371e-75"	"0.206988597075098"	"-0.0966168933637357"	"0.00218469111527312"	"0"
